FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
37370.418,1921,1,2,15,15,44,52,2,1,4,4,2,2,3,1,4,1,15,0,0,0,0,0,0,0,0,.,0,5,4,0,1,40,.,1,1,09,NA,06,9,0,.,NA,.,01,2,NA,NA
21430.595,47050,1,4,13,15,63,59,2,1,1,1,2,2,1,1,2,1,15,0,0,0,0,0,0,0,0,.,.,2,2,2,8,.,.,8,0,NA,NA,26,3,3014,.,NA,.,01,2,NA,NA
13820.14,26700,1,2,15,NA,27,.,1,NA,1,NA,2,NA,8,5,2,1,15,0,0,0,0,0,0,0,0,.,30000,4,1,1,5,40,.,1,1,02,NA,29,4,2008,.,NA,.,08,2,NA,NA
13154.365,98015,1,2,12,12,57,56,1,2,1,1,2,2,1,1,2,1,12,0,0,0,0,0,0,0,0,.,.,1,2,4,4,40,34,2,2,12,10,17,3,12579,.,NA,.,01,2,NA,NA
17946.491,11062,1,1,16,NA,87,.,2,NA,1,NA,2,NA,8,5,4,1,16,0,0,0,0,0,0,0,0,.,0,4,1,0,.,.,.,8,0,NA,NA,06,9,0,.,NA,.,11,2,NA,NA
9415.672,37462,2,5,16,12,72,71,1,2,1,4,2,2,1,1,1,2,16,0,0,0,0,0,0,0,0,.,0,2,2,3,8,.,.,8,0,NA,NA,NA,NA,0,.,NA,.,01,2,NA,NA
20447.135,5000,1,5,14,13,81,79,1,2,1,1,2,2,1,1,NA,1,14,0,0,0,0,0,0,0,0,.,250000,2,2,3,8,.,.,8,0,NA,NA,NA,NA,0,.,NA,.,01,2,NA,NA
15388.906,29324,1,4,13,13,68,69,1,2,2,2,2,2,1,1,3,1,13,0,0,0,0,0,0,0,0,.,.,2,2,2,6,.,.,8,0,NA,NA,01,6,0,0,NA,10,01,2,NA,NA
31441.26,19000,1,2,13,NA,54,.,2,NA,2,NA,2,NA,9,5,4,1,13,0,0,0,0,0,0,0,0,.,0,4,2,1,4,40,.,4,2,10,NA,32,8,-3346,.,NA,.,01,2,NA,NA
13502.196,63580,1,2,12,NA,68,.,2,NA,1,NA,2,NA,9,2,4,1,12,0,0,0,0,0,0,0,0,.,250000,2,2,3,4,23,.,1,1,10,NA,06,9,604,.,NA,.,01,2,NA,NA
19629.416,24000,1,1,13,NA,52,.,1,NA,1,NA,2,NA,8,5,1,1,13,0,0,0,0,0,0,0,0,.,3000,4,1,1,4,40,.,1,1,10,NA,34,2,1784,30,NA,10000,04,2,NA,NA
